state,county,tract,block group,NAME,Unemployed,Income,WhiteRace,BlackRace,IndianAlaskanRace,AsianRace,Population,MaleGender,FemaleGender,HighSchoolEducation,College_Less_1yrEducation,College_More_1YREducation,AssociateDegreeEducation,BachelorDegreeEducation,MasterDegreeEducation,ProfessionalDegreeEducation,DoctorateDegreeEducation
42,045,404102,3,"Block Group 3, Census Tract 4041.02, Delaware County, Pennsylvania",0,319,787,260,0,0,1127,592,535,416,48,13,8,51,66,10,18
42,045,404102,2,"Block Group 2, Census Tract 4041.02, Delaware County, Pennsylvania",94,282,893,0,0,28,921,535,386,352,30,80,118,121,20,0,0
42,045,408800,6,"Block Group 6, Census Tract 4088, Delaware County, Pennsylvania",36,224,575,87,0,29,757,384,373,90,17,34,14,150,115,28,35
42,045,408800,2,"Block Group 2, Census Tract 4088, Delaware County, Pennsylvania",16,433,930,143,0,126,1225,590,635,164,80,143,32,255,96,13,0
42,045,408800,5,"Block Group 5, Census Tract 4088, Delaware County, Pennsylvania",62,318,813,67,0,73,953,516,437,152,0,113,0,115,101,60,69
42,045,408800,1,"Block Group 1, Census Tract 4088, Delaware County, Pennsylvania",0,286,768,17,0,0,797,240,557,35,18,0,41,64,198,87,0
42,045,408800,4,"Block Group 4, Census Tract 4088, Delaware County, Pennsylvania",0,341,557,0,0,112,785,381,404,30,0,36,48,231,157,35,23
42,045,408900,3,"Block Group 3, Census Tract 4089, Delaware County, Pennsylvania",68,399,1295,145,0,17,1511,830,681,103,41,61,54,359,209,80,70
42,045,408900,1,"Block Group 1, Census Tract 4089, Delaware County, Pennsylvania",6,169,480,0,0,27,549,252,297,22,0,21,0,145,122,35,6
42,045,408900,2,"Block Group 2, Census Tract 4089, Delaware County, Pennsylvania",11,296,871,0,0,21,892,460,432,78,29,83,21,214,179,26,16
42,045,409602,1,"Block Group 1, Census Tract 4096.02, Delaware County, Pennsylvania",17,585,933,184,0,261,1449,747,702,71,23,138,11,322,264,70,98
42,045,409602,3,"Block Group 3, Census Tract 4096.02, Delaware County, Pennsylvania",52,402,851,12,0,50,1006,388,618,39,0,12,35,244,146,0,23
42,045,409602,2,"Block Group 2, Census Tract 4096.02, Delaware County, Pennsylvania",81,277,1922,178,0,96,2430,1161,1269,71,9,63,31,175,97,6,22
42,045,409701,1,"Block Group 1, Census Tract 4097.01, Delaware County, Pennsylvania",132,379,2451,185,32,104,2943,1316,1627,20,32,45,10,356,191,142,41
42,045,409701,2,"Block Group 2, Census Tract 4097.01, Delaware County, Pennsylvania",46,485,1300,143,0,380,1831,945,886,69,19,34,55,435,272,219,114
42,045,409701,3,"Block Group 3, Census Tract 4097.01, Delaware County, Pennsylvania",37,385,1330,0,0,11,1399,690,709,35,26,61,47,382,198,97,51
